Keyword,Page type,Location,Tag,content_block,Avg. monthly searches,Three month change,YoY change,Competition,Searches: Apr 2025,Searches: May 2025,Searches: Jun 2025,Searches: Jul 2025,Searches: Aug 2025,Searches: Sep 2025,Searches: Oct 2025,Searches: Nov 2025,Searches: Dec 2025,Searches: Jan 2026,Searches: Feb 2026,Searches: Mar 2026
best things to do in barcelona in may,City PDP,Barcelona,Activities & experiences,Things to do block,10,0%,0%,High,40,20,0,10,10,10,0,10,10,10,10,10
best things to do in barcelona in november,City PDP,Barcelona,Activities & experiences,Things to do block,10,-100%,0%,Unknown,10,10,10,10,10,20,40,40,0,10,10,0
best things to do in barcelona in october,City PDP,Barcelona,Activities & experiences,Things to do block,10,0%,0%,Medium,10,10,10,10,10,30,10,10,10,10,10,10
best things to do in barcelona in september,City PDP,Barcelona,Activities & experiences,Things to do block,10,0%,0%,Medium,10,10,30,30,30,20,10,10,10,10,10,10
best things to do in barcelona in winter,City PDP,Barcelona,Activities & experiences,Things to do block,10,-100%,-100%,Unknown,10,10,10,10,10,20,10,10,10,10,10,0
best things to do in barcelona on a sunday,City PDP,Barcelona,Activities & experiences,Things to do block,10,0%,0%,High,10,10,10,10,10,10,20,10,10,10,10,10
best things to do in barcelona on sunday,City PDP,Barcelona,Activities & experiences,Things to do block,10,0%,0%,High,10,10,10,10,10,10,10,10,10,10,10,10
best things to do in barcelona with family,City PDP,Barcelona,Activities & experiences,Things to do block,10,0%,0%,High,10,10,20,10,10,10,10,10,10,10,10,10
best tourist area barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,10,0%,0%,High,10,10,10,10,10,10,10,10,10,10,10,10
best traditional tapas in barcelona,City PDP,Barcelona,Food & drink,Things to do block,10,100%,0%,Low,10,10,10,10,10,10,10,10,10,10,10,20
best trendy restaurants in barcelona,City PDP,Barcelona,Food & drink,Things to do block,10,0%,-50%,Medium,20,10,10,20,10,20,10,10,10,10,10,10
best vegan burger barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,10,0%,-67%,Low,20,20,30,10,10,10,20,10,10,10,10,10
best veggie burger barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,10,0%,0%,Low,10,10,10,10,10,10,10,10,10,10,10,10
best veggie restaurants barcelona,City PDP,Barcelona,Food & drink,Things to do block,10,0%,-50%,Medium,20,50,10,10,10,20,20,10,10,10,10,10
best way to get from airport to barcelona,City PDP,Barcelona,Getting there & local transport,Unclassified,10,0%,-50%,Medium,10,10,20,10,20,10,10,10,10,10,10,10
best way to get to airport in barcelona,City PDP,Barcelona,Getting there & local transport,Unclassified,10,0%,0%,Medium,10,10,20,10,20,10,10,10,10,10,10,10
best weekend getaways from barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,10,0%,0%,Low,10,10,10,10,10,10,10,10,10,10,10,10
best wine store in barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,10,0%,-67%,Low,10,20,10,10,10,10,10,10,10,10,10,10
best women's clothing stores barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,10,0%,0%,Low,20,20,20,10,10,10,10,10,10,10,10,10
beyond meat burger barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,10,∞,0%,Low,10,10,10,10,10,10,10,10,0,0,0,10
biggest el corte ingles barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,10,0%,-50%,Low,10,10,10,20,10,70,10,10,10,10,10,10
biggest toy shop in barcelona,City PDP,Barcelona,Misc & branded queries,Things to do block,10,∞,∞,Low,10,10,10,10,10,10,10,10,10,0,10,10
blai tonight tapas barcelona,City PDP,Barcelona,Food & drink,Things to do block,10,∞,0%,Low,0,10,0,0,0,10,0,0,0,0,10,10
boat trip barcelona to costa brava,City PDP,Barcelona,Misc & branded queries,Unclassified,10,∞,0%,Low,10,20,30,20,10,10,10,0,0,0,10,10
boho shop barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,10,0%,0%,Low,10,10,10,10,10,10,10,10,0,10,0,10
book activities in barcelona,City PDP,Barcelona,Activities & experiences,Unclassified,10,0%,0%,High,10,10,10,10,10,10,10,10,10,10,10,10
book barcelona attractions,City PDP,Barcelona,Sightseeing & landmarks,City attractions block,10,0%,-50%,High,20,20,20,20,10,10,10,10,10,10,10,10
book things to do in barcelona,City PDP,Barcelona,Activities & experiences,Things to do block,10,0%,0%,High,10,10,10,20,10,20,10,10,10,10,10,10
bostik murals barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,10,0%,0%,Low,10,20,10,10,10,10,10,10,10,10,10,10
botero cat sculpture barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,10,0%,0%,Low,10,10,10,20,10,10,10,10,10,10,10,10
boutique shops in barcelona,City PDP,Barcelona,Shopping,Unclassified,10,0%,0%,Medium,10,10,20,20,10,10,10,10,10,10,10,10
bra shopping barcelona,City PDP,Barcelona,Shopping,Unclassified,10,0%,0%,Low,10,10,10,10,10,10,10,10,10,10,10,10
brands to buy in barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,10,100%,100%,Low,20,20,20,20,10,10,10,10,20,10,10,20
brazilian japanese restaurant barcelona,City PDP,Barcelona,Food & drink,Things to do block,10,0%,0%,Low,10,10,10,10,10,10,10,10,10,10,10,10
breakfast with a view barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,10,0%,0%,Low,30,20,10,20,10,20,10,10,10,10,10,10
budget eats barcelona,City PDP,Barcelona,Budget & value,Unclassified,10,0%,0%,Low,10,10,10,10,10,10,10,10,10,10,10,10
buff shop barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,10,0%,0%,Low,30,10,10,10,10,10,10,10,20,10,10,10
bun bao barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,10,0%,0%,Low,20,20,10,30,10,10,10,10,10,10,10,10
bunkers barcelona how to get there,City PDP,Barcelona,Misc & branded queries,Unclassified,10,0%,0%,Low,10,10,10,10,10,10,10,10,10,10,10,10
bunkers carmel barcelona how to get there,City PDP,Barcelona,Misc & branded queries,Unclassified,10,0%,0%,Low,10,10,10,10,10,10,10,10,10,10,10,10
burberry shop barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,10,0%,0%,Low,10,10,10,10,10,10,10,10,10,10,10,10
burger restaurants in barcelona,City PDP,Barcelona,Food & drink,Things to do block,10,100%,100%,Low,10,20,10,10,20,10,10,10,10,10,10,20
burrito restaurant barcelona,City PDP,Barcelona,Food & drink,Things to do block,10,-50%,-80%,Low,20,10,20,10,20,20,10,10,10,20,10,10
bus 46 airport barcelona,City PDP,Barcelona,Getting there & local transport,Unclassified,10,0%,-50%,Low,20,20,10,10,20,10,20,10,10,10,10,10
bus 46 barcelone aeroport,City PDP,Barcelona,Misc & branded queries,Unclassified,10,0%,0%,Medium,10,10,10,10,10,10,10,10,10,10,10,10
bus 604 barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,10,0%,0%,Low,20,30,10,10,10,10,20,10,10,10,10,10
bus a1 barcelona tickets,City PDP,Barcelona,Misc & branded queries,Transport block,10,0%,-50%,Medium,20,20,10,10,10,10,20,10,10,10,10,10
bus airport barcelona plaça catalunya,City PDP,Barcelona,Getting there & local transport,Unclassified,10,0%,0%,Medium,10,10,10,10,10,10,10,10,10,10,10,10
bus airport barcelona plaça espanya,City PDP,Barcelona,Getting there & local transport,Unclassified,10,0%,0%,Medium,10,10,20,30,10,10,10,10,10,10,10,10
bus and metro ticket barcelona,City PDP,Barcelona,Getting there & local transport,Transport block,10,0%,0%,Low,10,10,10,10,10,10,10,10,10,10,10,10
bus barcelona airport plaça catalunya,City PDP,Barcelona,Getting there & local transport,Unclassified,10,0%,0%,Medium,10,10,10,10,10,10,10,10,10,10,10,10
bus barcelona airport to place de catalunya,City PDP,Barcelona,Getting there & local transport,Unclassified,10,0%,-50%,Low,10,10,10,10,10,10,10,10,10,10,10,10
bus barcelona casablanca,City PDP,Barcelona,Misc & branded queries,Unclassified,10,0%,-50%,Low,10,10,20,30,10,10,10,10,10,10,10,10
bus barcelona city to airport,City PDP,Barcelona,Getting there & local transport,Unclassified,10,0%,0%,Medium,10,10,10,10,10,10,10,10,10,10,10,10
bus barcelona portbou,City PDP,Barcelona,Misc & branded queries,Unclassified,10,100%,100%,Low,20,10,10,20,10,10,10,10,10,10,10,20
bus barcelona st feliu de guixols,City PDP,Barcelona,Misc & branded queries,Unclassified,10,∞,∞,Low,0,0,0,0,0,0,0,0,0,0,0,10
bus begur barcelona airport,City PDP,Barcelona,Getting there & local transport,Unclassified,10,0%,0%,Medium,10,10,10,20,30,10,10,10,10,10,10,10
bus catalunya barcelona airport,City PDP,Barcelona,Getting there & local transport,Unclassified,10,0%,-50%,Medium,20,20,10,20,10,10,20,10,10,10,10,10
bus from barcelona to portugal,City PDP,Barcelona,Nearby & day trips,Nearby block,10,0%,0%,Medium,10,10,10,10,10,20,10,10,10,10,10,10
bus from santiago to barcelona,City PDP,Barcelona,Misc & branded queries,Nearby block,10,∞,0%,Medium,10,10,20,20,10,10,10,10,10,0,10,10
bus from tossa to barcelona,City PDP,Barcelona,Misc & branded queries,Nearby block,10,∞,0%,Medium,20,10,20,10,10,20,10,10,0,0,10,10
bus guide barcelona,City PDP,Barcelona,Trip planning & tips,Nearby block,10,0%,0%,High,10,20,20,20,20,20,10,10,10,10,10,10
bus lloret aeroport barcelone,City PDP,Barcelona,Misc & branded queries,Unclassified,10,0%,0%,Medium,10,10,10,30,40,10,10,10,10,10,0,10
bus miami platja barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,10,0%,0%,Low,10,10,10,30,20,10,10,0,10,10,10,10
bus n30 barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,10,0%,0%,Low,10,10,10,10,20,10,20,10,10,10,10,10
bus ticket airport barcelona,City PDP,Barcelona,Getting there & local transport,Transport block,10,0%,0%,Medium,10,10,10,10,10,10,10,10,10,10,10,10
bus ticket price in barcelona,City PDP,Barcelona,Getting there & local transport,Transport block,10,0%,0%,Low,10,10,10,10,10,10,10,10,10,10,10,10
bus to castelldefels from barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,10,-100%,-100%,Unknown,10,10,0,10,10,10,10,10,0,10,0,0
buy art barcelona,City PDP,Barcelona,Art & culture,Unclassified,10,0%,0%,High,20,10,10,10,10,30,20,10,10,10,10,10
buy bus ticket online barcelona,City PDP,Barcelona,Getting there & local transport,Transport block,10,0%,0%,Medium,10,10,10,10,10,10,10,10,10,10,10,10
buy wine barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,10,0%,-67%,Low,10,10,10,10,10,10,20,20,10,10,10,10
cadaques tour from barcelona,City PDP,Barcelona,Nearby & day trips,Unclassified,10,0%,-75%,High,20,20,20,10,20,20,10,10,10,10,10,10
caixaforum barcelona english,City PDP,Barcelona,Misc & branded queries,Unclassified,10,0%,0%,Low,10,10,10,10,10,10,10,10,10,10,10,10
cake shop la pastisseria barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,10,0%,-50%,Low,20,20,10,10,10,10,10,10,10,10,10,10
camper barcelona shop,City PDP,Barcelona,Misc & branded queries,Unclassified,10,0%,0%,Medium,20,10,10,20,10,10,10,20,10,10,10,10
canton food 2 barcelona,City PDP,Barcelona,Food & drink,Unclassified,10,0%,-50%,Low,10,20,20,10,10,10,10,10,10,10,10,10
casas shoe store barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,10,0%,-33%,Low,10,10,20,20,10,20,10,10,10,20,20,20
catalonia tapas restaurant barcelona,City PDP,Barcelona,Food & drink,Things to do block,10,0%,0%,Low,10,10,10,10,10,10,10,10,10,10,10,10
catalunya tapas restaurant barcelona,City PDP,Barcelona,Food & drink,Things to do block,10,100%,0%,Low,30,10,10,10,10,10,10,10,0,10,10,20
cer el cle restaurant barcelona,City PDP,Barcelona,Food & drink,Things to do block,10,-100%,-100%,Unknown,20,10,10,10,10,20,20,10,10,10,10,0
ceramics barcelona shopping,City PDP,Barcelona,Shopping,Things to do block,10,0%,-67%,Low,20,10,10,10,10,10,20,10,10,10,10,10
ceviche restaurant barcelona,City PDP,Barcelona,Food & drink,Things to do block,10,0%,0%,Low,10,10,20,20,20,10,10,10,10,20,20,20
cheap activities barcelona,City PDP,Barcelona,Budget & value,Unclassified,10,0%,0%,High,10,10,10,10,10,10,10,10,10,10,10,10
cheap and good paella barcelona,City PDP,Barcelona,Budget & value,Things to do block,10,0%,0%,Low,10,10,10,10,10,10,10,10,10,10,10,10
cheap and good restaurants in barcelona,City PDP,Barcelona,Budget & value,Things to do block,10,0%,0%,Low,10,10,10,10,10,10,10,10,10,10,10,10
cheap and good tapas in barcelona,City PDP,Barcelona,Budget & value,Things to do block,10,0%,0%,Low,10,10,10,10,10,10,10,10,0,10,10,10
cheap barcelona family holidays,City PDP,Barcelona,Budget & value,Unclassified,10,0%,∞,High,0,0,0,10,10,0,10,0,0,10,10,10
cheap barcelona food,City PDP,Barcelona,Budget & value,Things to do block,10,0%,-50%,Low,30,10,10,10,10,10,10,10,10,10,10,10
cheap eats gothic quarter barcelona,City PDP,Barcelona,Budget & value,Unclassified,10,0%,0%,Low,20,10,10,20,20,20,10,10,10,10,10,10
cheap good food in barcelona,City PDP,Barcelona,Budget & value,Things to do block,10,0%,-67%,Low,10,10,10,10,10,10,10,10,10,10,10,10
cheap good paella barcelona,City PDP,Barcelona,Budget & value,Things to do block,10,0%,-50%,Medium,40,30,20,20,20,10,10,10,10,10,10,10
cheap healthy food barcelona,City PDP,Barcelona,Budget & value,Unclassified,10,0%,0%,Low,10,10,10,10,10,10,10,10,10,10,10,10
cheap holidays to barcelona 2023,City PDP,Barcelona,Budget & value,Unclassified,10,0%,0%,Unknown,0,10,10,0,0,0,0,0,0,0,0,0
cheap local food barcelona,City PDP,Barcelona,Budget & value,Unclassified,10,0%,0%,Low,20,10,10,10,10,10,10,10,10,10,10,10
cheap meals barcelona,City PDP,Barcelona,Budget & value,Unclassified,10,0%,0%,Low,10,10,10,10,10,10,10,10,10,10,10,10
cheap places to shop in barcelona,City PDP,Barcelona,Budget & value,Things to do block,10,0%,0%,Low,10,10,10,10,10,10,10,10,10,10,10,10
cheap spanish food in barcelona,City PDP,Barcelona,Budget & value,Things to do block,10,0%,∞,Medium,10,10,10,10,10,10,10,0,10,10,0,10
cheap things in barcelona,City PDP,Barcelona,Budget & value,Unclassified,10,0%,0%,High,10,10,10,10,10,10,10,10,10,10,10,10
cheapest transportation in barcelona,City PDP,Barcelona,Budget & value,How to get block,10,0%,0%,Low,10,10,10,10,10,10,10,10,10,10,10,10
cheapy shop barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,10,0%,-50%,Low,10,30,10,20,10,20,10,20,20,10,10,10
cheese fondue barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,10,0%,0%,Low,10,10,10,10,10,10,30,20,20,20,10,20
cheese in barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,10,100%,100%,Low,20,10,10,10,20,10,10,20,10,10,10,20
chicken barcelona restaurant,City PDP,Barcelona,Food & drink,Things to do block,10,-50%,-50%,Low,10,10,10,20,20,10,10,10,10,20,10,10
chilli sauce barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,10,0%,0%,Low,10,10,10,10,10,0,0,0,10,10,10,10
chinese hot pot barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,10,0%,-50%,Low,10,10,10,10,10,10,10,10,10,10,20,10
chipotle mexican grill barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,10,50%,0%,Low,20,10,20,10,20,10,10,10,10,20,10,30
chorizo paella barcelona,City PDP,Barcelona,Food & drink,Things to do block,10,0%,0%,Medium,40,10,10,30,10,10,10,10,10,10,10,10
christmas shopping barcelona,City PDP,Barcelona,Shopping,Unclassified,10,-100%,-100%,Unknown,10,10,10,10,10,10,20,50,40,10,10,0
citrus sushi barcelona,City PDP,Barcelona,Misc & branded queries,Things to do block,10,-100%,-100%,Unknown,10,10,10,10,10,10,10,10,10,10,10,0
city transport barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,10,0%,-50%,Medium,10,20,10,10,10,10,10,10,10,10,10,10
cleanest beach in barcelona,City PDP,Barcelona,Beaches & water,Things to do block,10,-100%,-100%,Unknown,10,20,30,40,50,10,10,10,10,10,10,0
cleanest beaches in barcelona,City PDP,Barcelona,Beaches & water,Things to do block,10,∞,0%,Low,10,10,10,10,10,10,10,10,0,0,10,10
clothing optional barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,10,0%,-80%,Low,10,30,20,20,20,20,10,10,10,10,10,10
cocktail barceloneta,City PDP,Barcelona,Neighbourhoods & areas,Neighbourhoods block,10,0%,-50%,Low,10,30,10,10,30,20,10,10,10,10,10,10
cocktail masterclass barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,10,100%,-78%,Medium,20,10,20,10,10,10,10,20,10,10,20,20
coffee shop barcelona eixample,City PDP,Barcelona,Food & drink,Unclassified,10,0%,0%,Low,20,10,10,10,10,10,10,10,10,10,10,10
colon tapas barcelona,City PDP,Barcelona,Food & drink,Things to do block,10,0%,-67%,Low,20,10,10,10,10,10,10,10,20,10,10,10
cool activities in barcelona,City PDP,Barcelona,Activities & experiences,Unclassified,10,-50%,0%,High,10,30,20,20,20,10,10,10,10,20,10,10
cool clothing stores barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,10,0%,0%,High,20,20,20,20,10,10,10,10,10,10,10,10
cool places to see in barcelona,City PDP,Barcelona,Sightseeing & landmarks,City attractions block,10,100%,-33%,Medium,20,20,20,10,10,10,10,20,10,10,10,20
cool spots barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,10,0%,0%,Medium,10,10,20,20,10,10,10,10,10,10,10,10
cornbread graffiti barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,10,0%,∞,Low,0,0,10,0,0,0,0,0,0,10,0,10
corte ingles in barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,10,0%,-50%,Low,20,10,10,10,20,10,10,20,20,10,10,10
cos shop barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,10,0%,0%,Low,20,20,10,10,10,10,10,10,10,10,10,10
cost of food and drink in barcelona,City PDP,Barcelona,Budget & value,Things to do block,10,0%,0%,Low,10,10,20,10,10,10,10,0,10,10,10,10
cost of visiting barcelona,City PDP,Barcelona,Budget & value,Unclassified,10,0%,-50%,Medium,20,20,10,20,10,10,10,10,10,10,10,10
craziest things to do in barcelona,City PDP,Barcelona,Activities & experiences,Things to do block,10,0%,0%,Medium,10,10,10,10,20,10,10,10,10,10,10,10
crepes bar barcelona,City PDP,Barcelona,Nightlife,Unclassified,10,100%,0%,Low,10,20,10,10,10,10,10,10,10,10,10,20
cultural activities barcelona,City PDP,Barcelona,Activities & experiences,Unclassified,10,-50%,0%,Medium,10,20,20,10,10,10,10,10,10,20,10,10
curry and rice barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,10,0%,0%,Low,10,10,10,10,10,10,10,10,10,10,10,10
curry restaurant barcelona,City PDP,Barcelona,Food & drink,Things to do block,10,0%,0%,Low,10,10,10,10,10,10,10,10,10,10,10,10
custom shoes barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,10,0%,0%,Low,10,10,20,10,10,10,10,10,10,10,10,10
cute restaurants in barcelona,City PDP,Barcelona,Food & drink,Things to do block,10,-33%,-60%,Low,20,20,20,20,10,0,10,10,10,30,10,20
d 50 bus barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,10,100%,100%,Low,10,10,20,10,10,10,10,10,10,10,10,20
dali paintings barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,10,0%,0%,Low,10,10,10,10,10,10,10,10,10,10,10,10
dali paintings in barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,10,0%,-50%,Low,20,20,10,10,20,20,10,10,10,10,10,10
day activities in barcelona,City PDP,Barcelona,Activities & experiences,Unclassified,10,0%,0%,High,10,10,10,10,10,10,10,10,10,10,10,10
day excursions barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,10,0%,0%,High,10,10,10,10,10,10,10,10,10,10,10,10
day trip barcelona to valencia,City PDP,Barcelona,Nearby & day trips,Unclassified,10,0%,0%,Low,10,10,20,10,10,10,10,10,10,10,10,10
day trip from barcelona to girona and figueres,City PDP,Barcelona,Nearby & day trips,Nearby block,10,0%,-50%,High,20,10,10,10,10,20,20,10,10,10,10,10
day trip from barcelona to portaventura,City PDP,Barcelona,Nearby & day trips,Nearby block,10,-100%,-100%,Unknown,10,10,10,20,10,10,10,10,0,10,10,0
day trip from barcelona to zaragoza,City PDP,Barcelona,Nearby & day trips,Nearby block,10,0%,0%,Low,10,10,10,10,10,10,20,10,10,10,10,10
day trip to portaventura from barcelona,City PDP,Barcelona,Nearby & day trips,Unclassified,10,0%,0%,High,10,10,10,10,10,10,10,10,10,10,10,10
day trip to seville from barcelona,City PDP,Barcelona,Nearby & day trips,Unclassified,10,0%,-50%,Medium,10,20,10,10,10,10,10,10,10,10,20,10
day trips from barcelona in winter,City PDP,Barcelona,Nearby & day trips,Nearby block,10,-67%,0%,Low,10,10,10,10,10,10,10,30,30,30,10,10
day trips from barcelona rick steves,City PDP,Barcelona,Nearby & day trips,Nearby block,10,0%,0%,Low,10,10,10,10,10,10,10,10,10,10,10,10
day trips to take from barcelona,City PDP,Barcelona,Nearby & day trips,Unclassified,10,-50%,-50%,High,10,10,20,10,10,10,20,10,10,20,20,10
days out from barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,10,0%,0%,High,10,10,10,10,10,10,10,10,10,10,10,10
days to spend in barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,10,0%,0%,Low,10,10,10,10,10,10,10,10,10,10,10,10
delicious destinations barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,10,-100%,-100%,Unknown,10,10,10,10,10,10,10,10,0,10,10,0
designer vintage shops barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,10,0%,0%,High,30,0,10,10,10,10,10,10,10,10,0,10
desigual barcelona shops,City PDP,Barcelona,Misc & branded queries,Unclassified,10,0%,0%,Low,10,10,10,10,10,10,10,10,10,10,10,10
desigual flagship store barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,10,200%,200%,Low,10,10,10,10,10,10,20,10,10,10,10,30
dino ice cream barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,10,0%,0%,Low,20,20,20,10,30,10,10,10,10,10,10,10
disney shop in barcelona,City PDP,Barcelona,Misc & branded queries,Things to do block,10,0%,0%,Low,20,10,10,10,10,10,10,10,0,10,10,10
drinking fountains barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,10,0%,0%,Low,10,10,20,10,20,10,10,10,10,10,20,10
drinks to try in barcelona,City PDP,Barcelona,Food & drink,Unclassified,10,0%,0%,Low,10,20,10,20,30,20,10,10,10,10,10,10
dumpling bar barcelona,City PDP,Barcelona,Nightlife,Unclassified,10,0%,0%,Low,10,10,10,10,10,10,10,10,10,10,10,10
dumplings asian barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,10,0%,-100%,Unknown,0,10,0,10,0,10,0,0,0,0,0,0
easy things to do in barcelona,City PDP,Barcelona,Activities & experiences,Things to do block,10,-100%,-100%,Unknown,10,10,10,10,10,10,10,10,10,10,10,0
easy train trips from barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,10,-33%,100%,Low,10,10,10,10,20,10,10,10,10,30,10,20
eat bcn,City PDP,Barcelona,Food & drink,Unclassified,10,0%,-50%,Low,10,10,10,10,10,10,10,10,10,10,10,10
eat healthy barcelona,City PDP,Barcelona,Food & drink,Unclassified,10,0%,0%,Low,10,10,10,10,10,10,10,10,10,10,10,10
eat paella in barcelona,City PDP,Barcelona,Food & drink,Things to do block,10,0%,0%,High,10,10,10,10,10,10,10,10,10,10,10,10
eating at la boqueria barcelona,City PDP,Barcelona,Food & drink,City attractions block,10,0%,0%,Low,10,30,10,10,10,10,10,10,10,10,10,10
eating in barcelona on a budget,City PDP,Barcelona,Budget & value,Things to do block,10,0%,-50%,Low,10,50,10,20,10,20,10,10,10,10,10,10
eating out in barcelona city,City PDP,Barcelona,Food & drink,Unclassified,10,0%,0%,Unknown,0,10,10,0,10,0,0,10,0,0,0,0
eating out in barcelona on a budget,City PDP,Barcelona,Budget & value,Unclassified,10,0%,0%,Low,0,0,0,0,0,0,0,0,0,10,0,10
eco shop barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,10,-100%,-100%,Unknown,10,10,10,10,10,10,10,10,10,10,10,0
egg restaurant barcelona,City PDP,Barcelona,Food & drink,Things to do block,10,100%,0%,Low,20,10,20,20,10,10,10,20,10,10,10,20
eixample neighbourhood,City PDP,Barcelona,Neighbourhoods & areas,Neighbourhoods block,10,100%,100%,Low,10,10,20,20,20,10,10,10,10,10,20,20
el born centre barcelona,City PDP,Barcelona,Neighbourhoods & areas,Neighbourhoods block,10,0%,0%,Low,20,10,10,10,10,10,10,10,10,10,10,10
el born cultural & memorial centre,City PDP,Barcelona,Neighbourhoods & areas,Neighbourhoods block,10,-50%,0%,Medium,20,10,20,10,10,10,10,10,10,20,10,10
el clot arago to barcelona airport,City PDP,Barcelona,Getting there & local transport,Unclassified,10,0%,-50%,Low,20,20,30,10,10,10,10,10,10,10,10,10
el corte ingles barcelona shops list,City PDP,Barcelona,Misc & branded queries,Unclassified,10,-100%,-100%,Unknown,0,0,0,0,10,0,10,10,0,10,0,0
el corte ingles in barcelona spain,City PDP,Barcelona,Misc & branded queries,Unclassified,10,0%,0%,Low,10,10,20,10,20,10,10,20,10,10,20,10
el gotic barcelona tapas,City PDP,Barcelona,Food & drink,Things to do block,10,0%,0%,Low,10,0,10,10,0,10,10,10,10,10,0,10
el poble sec neighborhood barcelona,City PDP,Barcelona,Neighbourhoods & areas,Neighbourhoods block,10,0%,0%,Low,10,10,10,10,10,10,10,10,10,10,10,10
el prat metro barcelona,City PDP,Barcelona,Getting there & local transport,Unclassified,10,0%,0%,Low,10,10,10,10,10,10,10,10,20,10,10,10
el principal restaurant barcelona,City PDP,Barcelona,Food & drink,Things to do block,10,0%,0%,Low,10,10,10,10,0,10,10,0,10,10,10,10
electronic shop in barcelona,City PDP,Barcelona,Misc & branded queries,Things to do block,10,0%,0%,High,10,10,10,10,10,10,10,10,10,10,10,10
estacio del nord barcelona metro,City PDP,Barcelona,Getting there & local transport,Unclassified,10,0%,0%,Low,10,10,10,10,10,10,10,10,10,10,10,10
euro shop barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,10,0%,-50%,Low,50,30,10,10,10,20,10,10,10,10,10,10
eye on food tours barcelona,City PDP,Barcelona,Food & drink,Unclassified,10,∞,0%,High,10,10,10,10,10,10,10,10,10,0,10,10
f1 tickets barcelona 2023,City PDP,Barcelona,Sports & events,Unclassified,10,0%,-100%,Unknown,10,10,10,10,0,0,10,0,10,0,0,0
factory shop burberry barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,10,-100%,-100%,Unknown,10,10,10,0,10,10,10,10,10,10,10,0
famous area in barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,10,0%,0%,Medium,20,10,10,10,20,10,10,10,10,10,10,10
famous art barcelona,City PDP,Barcelona,Art & culture,Unclassified,10,0%,-50%,Low,10,20,20,10,10,10,10,10,10,10,20,10
famous barcelona sights,City PDP,Barcelona,Misc & branded queries,Unclassified,10,0%,0%,Medium,10,30,20,20,10,20,20,10,10,10,10,10
famous espadrille shop barcelona,City PDP,Barcelona,Misc & branded queries,Unclassified,10,0%,0%,Low,10,10,10,10,10,10,10,10,10,10,10,10
