Keyword,Page type,Location,Tag,Avg. monthly searches,Three month change,YoY change,Competition,Searches: Apr 2025,Searches: May 2025,Searches: Jun 2025,Searches: Jul 2025,Searches: Aug 2025,Searches: Sep 2025,Searches: Oct 2025,Searches: Nov 2025,Searches: Dec 2025,Searches: Jan 2026,Searches: Feb 2026,Searches: Mar 2026
best sights to see in spain,Country PLP,Spain,Sightseeing & landmarks,1000,-23%,-23%,Low,1300,1900,1300,880,1000,1300,1300,880,1000,1300,880,1000
best sightseeing in spain,Country PLP,Spain,Sightseeing & landmarks,1000,-23%,-23%,Low,1300,1900,1300,880,1000,1300,1300,880,1000,1300,880,1000
best sites in spain,Country PLP,Spain,Places & destinations,18100,0%,-33%,Medium,27100,27100,22200,22200,18100,14800,14800,12100,12100,18100,18100,18100
best sites to see in spain,Country PLP,Spain,Places & destinations,18100,0%,-33%,Medium,27100,27100,22200,22200,18100,14800,14800,12100,12100,18100,18100,18100
best sites to visit in spain,Country PLP,Spain,Places & destinations,18100,0%,-33%,Medium,27100,27100,22200,22200,18100,14800,14800,12100,12100,18100,18100,18100
best small cities in spain to visit,Country PLP,Spain,Urban destinations,10,0%,0%,Low,10,10,10,10,10,10,10,10,10,10,10,10
best small cities to visit in spain,Country PLP,Spain,Urban destinations,70,-44%,-29%,Low,70,90,90,70,70,50,50,70,50,90,90,50
best small towns in spain,Country PLP,Spain,Urban destinations,260,-19%,-46%,Low,320,320,260,320,260,210,210,210,170,260,210,210
best small towns in spain to visit,Country PLP,Spain,Urban destinations,30,-40%,-25%,Medium,20,40,30,30,20,30,30,20,30,50,30,30
best small towns to visit in spain,Country PLP,Spain,Urban destinations,70,-44%,-29%,Low,70,90,90,70,70,50,50,70,50,90,90,50
best south of spain destinations,Country PLP,Spain,Regional exploration,20,0%,-33%,Medium,20,20,20,20,10,10,10,10,10,20,20,20
best south spain cities,Country PLP,Spain,Regional exploration,30,0%,-40%,Low,40,30,30,30,20,30,30,20,30,30,30,30
best south spain places visit,Country PLP,Spain,Regional exploration,10,0%,0%,Medium,10,10,10,10,10,10,10,10,10,10,0,10
best southern spain cities to visit,Country PLP,Spain,Regional exploration,40,-25%,-40%,Low,30,50,30,50,40,50,40,30,30,40,40,30
best southern spain destinations,Country PLP,Spain,Regional exploration,210,-19%,-34%,Low,320,320,260,210,210,210,210,140,170,260,210,210
best spain,Country PLP,Spain,Places & destinations,390,-33%,-18%,Low,390,1000,390,390,320,320,320,390,390,480,320,320
best spain island to visit,Country PLP,Spain,Places & destinations,70,0%,0%,Low,90,110,70,70,50,40,30,50,70,90,70,90
best spain places to visit,Country PLP,Spain,Places & destinations,30,50%,-25%,Medium,20,40,30,30,20,20,20,30,20,20,30,30
best spain road trip,Country PLP,Spain,Itineraries & road trips,110,27%,-33%,Low,170,170,110,110,90,70,170,70,70,110,90,140
best spain summer destinations,Country PLP,Spain,Seasonality & weather,20,-50%,-67%,Medium,40,30,30,20,10,10,10,10,10,20,10,10
best spain travel guide,Country PLP,Spain,Practical planning,140,-33%,-33%,High,170,170,140,170,170,110,110,140,170,210,170,140
best spain vacation destinations,Country PLP,Spain,Trip types & holidays,720,-18%,-18%,Medium,880,880,880,880,590,590,480,480,480,880,720,720
best spanish speaking cities to visit,Country PLP,Spain,Urban destinations,50,0%,0%,Low,90,90,30,10,30,40,50,40,50,50,50,50
best spot in spain,Country PLP,Spain,Places & destinations,18100,0%,-33%,Medium,27100,27100,22200,22200,18100,14800,14800,12100,12100,18100,18100,18100
best spots in spain,Country PLP,Spain,Places & destinations,18100,0%,-33%,Medium,27100,27100,22200,22200,18100,14800,14800,12100,12100,18100,18100,18100
best spots in spain to visit,Country PLP,Spain,Places & destinations,20,-33%,0%,Medium,20,20,10,30,20,30,10,20,20,30,30,20
best spots to visit in spain,Country PLP,Spain,Places & destinations,70,-36%,-36%,Medium,70,90,90,90,50,50,50,40,40,110,70,70
best summer cities in spain,Country PLP,Spain,Seasonality & weather,10,0%,-50%,Low,20,20,20,10,10,10,10,10,10,10,10,10
best summer destination in spain,Country PLP,Spain,Seasonality & weather,40,33%,-43%,Low,90,70,70,50,30,10,10,20,30,30,40,40
best summer destinations spain,Country PLP,Spain,Seasonality & weather,10,0%,-67%,Low,20,30,40,20,10,0,0,10,10,10,10,10
best summer holiday destinations spain,Country PLP,Spain,Seasonality & weather,10,0%,0%,Low,10,40,10,10,0,10,20,10,10,10,10,10
best thing in spain,Country PLP,Spain,Places & destinations,210,-35%,-35%,Low,260,320,260,170,210,320,260,210,140,260,210,170
best things to do in south spain,Country PLP,Spain,Regional exploration,50,-20%,-43%,Low,50,70,50,40,40,50,30,30,30,50,50,40
best things to do in spain in april,Country PLP,Spain,Seasonality & weather,10,0%,0%,Medium,0,10,10,10,10,10,10,10,10,10,10,10
best things to do in spain in august,Country PLP,Spain,Seasonality & weather,10,-100%,-100%,Unknown,10,10,10,10,10,10,10,10,0,10,10,0
best things to do in spain in december,Country PLP,Spain,Seasonality & weather,10,0%,0%,High,10,10,10,10,10,10,20,20,20,10,10,10
best things to do in spain in july,Country PLP,Spain,Seasonality & weather,10,100%,100%,High,10,10,10,10,10,10,10,10,10,10,0,20
best things to do in spain in june,Country PLP,Spain,Seasonality & weather,10,0%,0%,Medium,10,10,10,0,10,10,10,10,10,10,10,10
best things to do in spain in may,Country PLP,Spain,Seasonality & weather,10,-50%,-50%,High,10,10,0,10,10,10,10,10,20,20,20,10
best things to do in spain in september,Country PLP,Spain,Seasonality & weather,10,0%,0%,Medium,10,10,20,30,10,10,10,10,10,10,10,10
best things to see and do in spain,Country PLP,Spain,Sightseeing & landmarks,20,0%,200%,Medium,20,20,10,20,20,10,20,10,20,30,10,30
best things to visit in spain,Country PLP,Spain,Places & destinations,1300,0%,-19%,Medium,1600,1900,1300,1300,1000,1300,1000,1000,880,1300,1000,1300
best to see in spain,Country PLP,Spain,Places & destinations,10,0%,0%,Medium,20,20,10,10,10,10,10,10,20,10,10,10
best to visit in spain,Country PLP,Spain,Places & destinations,20,-33%,0%,Medium,30,20,10,20,20,20,10,20,20,30,10,20
best to visit spain,Country PLP,Spain,Places & destinations,20,-50%,-50%,Low,30,30,10,20,20,10,10,20,20,20,20,10
best tourist attraction in spain,Country PLP,Spain,Sightseeing & landmarks,40,-25%,-25%,Low,50,40,40,50,40,40,50,30,20,40,20,30
best tourist attractions in spain,Country PLP,Spain,Sightseeing & landmarks,1000,-23%,-23%,Low,1300,1900,1300,880,1000,1300,1300,880,1000,1300,880,1000
best tourist destination in spain,Country PLP,Spain,Places & destinations,20,-50%,-50%,Medium,20,20,40,20,10,10,20,20,10,20,20,10
best tourist sites in spain,Country PLP,Spain,Places & destinations,880,0%,-18%,Low,880,1300,720,590,720,1300,880,720,720,720,720,720
best tourist spot in spain,Country PLP,Spain,Places & destinations,320,23%,-18%,Low,390,480,390,320,320,390,320,260,260,260,260,320
best towns in northern spain,Country PLP,Spain,Regional exploration,70,-22%,-36%,Low,70,110,90,90,90,50,50,50,50,90,50,70
best towns northern spain,Country PLP,Spain,Regional exploration,70,-22%,-36%,Low,70,110,90,90,90,50,50,50,50,90,50,70
best towns to visit in northern spain,Country PLP,Spain,Regional exploration,20,-33%,-60%,Low,20,30,40,30,20,30,10,20,10,30,20,20
best towns to visit in southern spain,Country PLP,Spain,Regional exploration,30,100%,33%,Low,20,40,30,30,20,20,20,20,10,20,20,40
best towns to visit spain,Country PLP,Spain,Urban destinations,20,0%,0%,Low,30,20,20,30,20,10,20,10,10,20,20,20
best travel destinations in spain,Country PLP,Spain,Places & destinations,40,-25%,-57%,Low,50,40,50,40,30,40,20,30,20,40,40,30
best travel places in spain,Country PLP,Spain,Places & destinations,18100,0%,-33%,Medium,27100,27100,22200,22200,18100,14800,14800,12100,12100,18100,18100,18100
best travel spots in spain,Country PLP,Spain,Places & destinations,18100,0%,-33%,Medium,27100,27100,22200,22200,18100,14800,14800,12100,12100,18100,18100,18100
best vacation cities in spain,Country PLP,Spain,Urban destinations,720,-18%,-18%,Medium,880,880,880,880,590,590,480,480,480,880,720,720
best vacation place in spain,Country PLP,Spain,Trip types & holidays,720,-18%,-18%,Medium,880,880,880,880,590,590,480,480,480,880,720,720
best vacation spots in spain beach,Country PLP,Spain,Beaches & coast,10,0%,0%,Low,10,10,10,10,10,10,0,10,10,10,10,10
best views in spain,Country PLP,Spain,Places & destinations,70,-44%,-44%,Low,70,90,70,70,70,90,70,50,70,90,70,50
best villages in spain,Country PLP,Spain,Places & destinations,110,0%,-35%,Low,140,140,140,140,110,140,110,70,90,110,90,110
best villages to visit in spain,Country PLP,Spain,Places & destinations,20,100%,100%,Low,20,40,20,20,20,10,10,10,10,10,10,20
best way to explore spain,Country PLP,Spain,Places & destinations,10,0%,-50%,High,10,10,10,20,10,10,10,10,10,10,10,10
best way to get around in spain,Country PLP,Spain,Places & destinations,30,0%,0%,Low,30,30,30,30,20,20,20,20,20,30,10,30
best way to see spain in 2 weeks,Country PLP,Spain,Places & destinations,10,0%,0%,High,10,10,10,10,10,10,10,10,10,10,10,10
best way to travel between cities in spain,Country PLP,Spain,Urban destinations,10,0%,0%,Medium,20,10,10,20,10,10,10,10,10,10,10,10
best way to travel within spain,Country PLP,Spain,Places & destinations,20,0%,0%,Medium,20,20,20,20,20,10,10,10,10,20,20,20
best winter destinations in spain,Country PLP,Spain,Seasonality & weather,10,0%,0%,Low,10,10,10,10,10,10,20,20,20,10,10,10
best winter destinations spain,Country PLP,Spain,Seasonality & weather,10,0%,0%,Low,10,10,10,10,10,10,10,10,10,10,10,10
biggest tourist attraction in spain,Country PLP,Spain,Sightseeing & landmarks,320,23%,-18%,Low,390,480,390,320,320,390,320,260,260,260,260,320
calatayud spain,Country PLP,Spain,Places & destinations,720,22%,49%,Low,720,720,720,720,720,720,720,590,590,720,720,880
charming towns in spain,Country PLP,Spain,Urban destinations,10,0%,-50%,Low,20,10,10,10,10,10,20,10,10,10,10,10
cheap beach destinations spain,Country PLP,Spain,Budget & value,10,0%,-50%,Low,10,20,30,20,10,10,0,10,10,10,10,10
cheap cities to visit in spain,Country PLP,Spain,Budget & value,70,0%,-22%,Low,110,90,90,70,70,50,40,50,50,70,50,70
cheap places in spain to travel,Country PLP,Spain,Budget & value,10,0%,0%,Low,10,10,10,10,10,10,10,10,10,10,10,10
cheap places to go spain,Country PLP,Spain,Budget & value,10,0%,-50%,Medium,10,20,20,10,10,10,10,10,10,10,10,10
cheap places to go to in spain,Country PLP,Spain,Budget & value,10,0%,0%,High,10,10,20,10,10,10,10,10,10,10,10,10
cheap places to visit spain,Country PLP,Spain,Budget & value,590,22%,-18%,Low,880,1000,880,880,480,480,320,320,320,590,480,720
cheap vacation in spain,Country PLP,Spain,Budget & value,90,40%,-50%,Medium,110,140,140,140,70,170,90,20,40,50,70,70
cheapest month to go to spain,Country PLP,Spain,Budget & value,50,-56%,-43%,Low,30,50,40,50,30,40,50,40,40,90,50,40
cheapest part of spain,Country PLP,Spain,Budget & value,110,22%,-21%,Low,170,140,140,170,140,90,90,70,50,90,110,110
cheapest part of spain to go on holiday,Country PLP,Spain,Budget & value,10,0%,0%,High,10,10,10,10,10,10,10,10,0,10,10,10
cheapest way to travel in spain,Country PLP,Spain,Budget & value,90,-22%,-59%,Medium,140,140,110,110,90,90,70,50,50,90,70,70
christmas in spain travel,Country PLP,Spain,Places & destinations,10,0%,0%,High,10,10,10,10,10,10,10,10,10,10,10,10
cities in northern spain to visit,Country PLP,Spain,Regional exploration,20,-50%,-50%,Low,20,20,40,20,20,30,20,10,10,20,20,10
cities in southern spain to visit,Country PLP,Spain,Regional exploration,90,-21%,57%,Low,40,70,90,70,110,90,110,110,110,140,90,110
cities in spain with beaches,Country PLP,Spain,Beaches & coast,210,24%,-19%,Low,320,320,320,260,170,140,140,140,140,210,260,260
cities in spain worth visiting,Country PLP,Spain,Urban destinations,30,33%,33%,Medium,40,30,30,30,20,30,40,30,20,30,30,40
cities must visit in spain,Country PLP,Spain,Urban destinations,2900,-33%,-33%,Medium,3600,3600,2900,2900,2400,2400,2400,1900,1900,3600,2400,2400
cities to go in spain,Country PLP,Spain,Urban destinations,1600,-16%,-33%,Low,2400,2400,1900,1900,1600,1600,1300,1300,1300,1900,1600,1600
cities to travel in spain,Country PLP,Spain,Urban destinations,20,100%,-33%,Low,20,30,20,30,20,10,20,10,20,10,10,20
cities to travel to in spain,Country PLP,Spain,Urban destinations,10,0%,0%,Low,10,20,10,10,10,10,10,10,10,10,10,10
cities to visit in southern spain,Country PLP,Spain,Regional exploration,30,-33%,-33%,Low,30,30,30,20,30,20,20,20,20,30,30,20
cities to visit in spain in december,Country PLP,Spain,Seasonality & weather,10,0%,0%,Low,10,10,10,10,20,10,30,40,20,10,0,10
cities worth visiting in spain,Country PLP,Spain,Urban destinations,30,50%,0%,Low,20,40,40,30,40,30,20,20,20,20,40,30
cities you must visit in spain,Country PLP,Spain,Urban destinations,10,100%,100%,Medium,10,10,10,10,10,10,20,10,10,10,10,20
cool cities in spain,Country PLP,Spain,Urban destinations,1600,0%,-16%,Low,1900,1900,1600,1600,1300,1300,1300,1000,1000,1600,1300,1600
cool places in spain to visit,Country PLP,Spain,Places & destinations,18100,0%,-33%,Medium,27100,27100,22200,22200,18100,14800,14800,12100,12100,18100,18100,18100
cool places to go in spain,Country PLP,Spain,Places & destinations,260,22%,50%,Low,320,390,210,140,210,390,260,210,260,320,260,390
cool places to see in spain,Country PLP,Spain,Places & destinations,18100,0%,-33%,Medium,27100,27100,22200,22200,18100,14800,14800,12100,12100,18100,18100,18100
cool places to visit in spain,Country PLP,Spain,Places & destinations,260,22%,50%,Low,320,390,210,140,210,390,260,210,260,320,260,390
cool stuff to do in spain,Country PLP,Spain,Places & destinations,1300,0%,-19%,Medium,1600,1900,1300,1300,1000,1300,1000,1000,880,1300,1000,1300
cool things in spain,Country PLP,Spain,Places & destinations,260,24%,53%,Low,260,320,170,90,210,390,260,210,210,210,260,260
cool things to do in spain,Country PLP,Spain,Activities & experiences,1300,0%,-19%,Medium,1600,1900,1300,1300,1000,1300,1000,1000,880,1300,1000,1300
cool things to see in spain,Country PLP,Spain,Sightseeing & landmarks,320,-18%,-18%,Medium,390,480,320,320,260,260,260,260,260,390,320,320
coolest place in spain in august,Country PLP,Spain,Seasonality & weather,10,0%,0%,Low,20,20,10,10,20,10,10,10,10,10,10,10
coolest places in spain in summer,Country PLP,Spain,Seasonality & weather,10,0%,0%,Low,10,10,20,30,20,10,10,10,0,10,10,10
coolest places to go in spain,Country PLP,Spain,Places & destinations,260,22%,50%,Low,320,390,210,140,210,390,260,210,260,320,260,390
coolest things to see in spain,Country PLP,Spain,Sightseeing & landmarks,320,-18%,-18%,Medium,390,480,320,320,260,260,260,260,260,390,320,320
coolest towns in spain,Country PLP,Spain,Urban destinations,480,-34%,-34%,Low,590,720,480,590,480,390,390,320,390,590,390,390
countries in spain to visit,Country PLP,Spain,Places & destinations,30,100%,100%,Medium,30,40,30,10,20,30,30,40,20,20,20,40
countries near spain to visit,Country PLP,Spain,Places & destinations,110,-21%,-21%,Low,140,110,140,140,110,90,90,90,90,140,110,110
countries to visit in spain,Country PLP,Spain,Places & destinations,20,-50%,-67%,Low,30,20,20,20,20,10,10,20,10,20,20,10
countries to visit near spain,Country PLP,Spain,Places & destinations,40,0%,0%,Low,40,50,40,40,30,40,20,30,40,40,40,40
crazy things to do in spain,Country PLP,Spain,Activities & experiences,10,-50%,-50%,Low,10,20,10,10,20,10,10,10,10,20,10,10
crazy tourist spain,Country PLP,Spain,Places & destinations,10,0%,0%,Low,10,10,10,10,10,10,10,10,10,10,10,10
cultural attractions in spain,Country PLP,Spain,Sightseeing & landmarks,20,-50%,-50%,Low,20,30,10,10,10,10,40,10,10,20,20,10
cute places in spain,Country PLP,Spain,Places & destinations,10,100%,100%,Low,10,20,20,10,10,10,10,20,10,10,20,20
destinations in spain to visit,Country PLP,Spain,Places & destinations,20,0%,0%,Medium,30,30,30,20,20,20,20,20,20,30,30,30
different places in spain,Country PLP,Spain,Places & destinations,90,0%,-36%,Low,90,170,110,140,90,110,90,70,70,90,70,90
driving tour northern spain,Country PLP,Spain,Itineraries & road trips,20,-80%,-50%,Medium,10,30,20,10,20,10,10,10,20,50,20,10
east coast of spain road trip,Country PLP,Spain,Itineraries & road trips,10,0%,0%,Low,10,10,10,10,10,10,10,10,10,10,10,10
east coast spain road trip,Country PLP,Spain,Itineraries & road trips,40,0%,-43%,Low,40,50,50,40,30,40,10,10,20,40,30,40
exciting things to do in spain,Country PLP,Spain,Activities & experiences,10,0%,-50%,Medium,20,30,10,20,10,10,10,10,10,10,10,10
exotic places in spain,Country PLP,Spain,Places & destinations,20,0%,-67%,Low,30,30,30,30,10,10,10,20,10,10,20,10
exotic tours long stay spain,Country PLP,Spain,Places & destinations,10,-100%,0%,Unknown,0,10,10,0,10,0,0,0,0,10,10,0
famous areas in spain,Country PLP,Spain,Places & destinations,260,0%,23%,Low,260,320,260,210,260,390,260,260,210,320,210,320
famous attraction in spain,Country PLP,Spain,Places & destinations,390,22%,22%,Low,390,480,210,170,210,590,590,390,320,320,320,390
famous cities in spain,Country PLP,Spain,Urban destinations,3600,24%,24%,Low,3600,6600,2900,2900,2900,3600,2900,2900,2900,2900,2900,3600
famous cities in spain to visit,Country PLP,Spain,Urban destinations,320,23%,52%,Low,390,390,260,210,210,390,320,320,170,260,320,320
famous cities spain,Country PLP,Spain,Urban destinations,590,0%,0%,Low,590,1300,480,480,390,590,480,480,390,480,480,480
famous destination in spain,Country PLP,Spain,Places & destinations,6600,0%,0%,Low,8100,9900,6600,5400,5400,9900,8100,6600,5400,6600,5400,6600
famous landmarks in spain,Country PLP,Spain,Sightseeing & landmarks,8100,23%,50%,Low,6600,9900,6600,3600,4400,14800,9900,6600,5400,6600,6600,8100
famous locations in spain,Country PLP,Spain,Places & destinations,6600,0%,0%,Low,8100,9900,6600,5400,5400,9900,8100,6600,5400,6600,5400,6600
famous places in spain to visit,Country PLP,Spain,Sightseeing & landmarks,170,24%,86%,Low,170,210,110,140,140,260,260,210,170,210,170,260
famous places to go in spain,Country PLP,Spain,Sightseeing & landmarks,320,23%,52%,Low,390,390,260,210,210,390,320,320,170,260,320,320
famous sights in spain,Country PLP,Spain,Sightseeing & landmarks,6600,0%,0%,Low,8100,9900,6600,5400,5400,9900,8100,6600,5400,6600,5400,6600
famous sites in spain,Country PLP,Spain,Places & destinations,6600,0%,0%,Low,8100,9900,6600,5400,5400,9900,8100,6600,5400,6600,5400,6600
famous spain tourist attractions,Country PLP,Spain,Sightseeing & landmarks,20,-50%,0%,Low,10,20,10,10,10,40,20,20,10,20,20,10
famous spots in spain,Country PLP,Spain,Places & destinations,6600,0%,0%,Low,8100,9900,6600,5400,5400,9900,8100,6600,5400,6600,5400,6600
famous things to do in spain,Country PLP,Spain,Activities & experiences,40,33%,0%,Low,40,70,50,20,40,40,50,30,50,30,40,40
famous things to see in spain,Country PLP,Spain,Sightseeing & landmarks,20,0%,100%,Low,40,40,20,10,20,20,10,10,10,20,10,20
famous tourist attraction in spain,Country PLP,Spain,Sightseeing & landmarks,390,22%,22%,Low,390,480,210,170,210,590,590,390,320,320,320,390
famous tourist places in spain,Country PLP,Spain,Places & destinations,6600,0%,0%,Low,8100,9900,6600,5400,5400,9900,8100,6600,5400,6600,5400,6600
famous tourist spot in spain,Country PLP,Spain,Places & destinations,390,22%,22%,Low,390,480,210,170,210,590,590,390,320,320,320,390
favorite cities in spain,Country PLP,Spain,Urban destinations,40,0%,-25%,Low,40,70,40,40,40,30,40,40,40,30,30,30
favorite places in spain,Country PLP,Spain,Places & destinations,20,0%,0%,Low,20,30,20,10,20,20,20,20,20,10,10,10
fun cities in spain,Country PLP,Spain,Urban destinations,40,-40%,-25%,Low,50,50,40,20,20,20,20,30,40,50,40,30
fun places to visit in spain,Country PLP,Spain,Places & destinations,210,0%,0%,Medium,260,320,210,170,170,210,110,110,110,210,210,210
g adventures best of southern spain,Country PLP,Spain,Regional exploration,20,0%,-33%,Low,20,20,20,10,20,20,20,10,20,20,20,20
go for spain,Country PLP,Spain,Places & destinations,10,0%,-50%,Low,10,20,20,20,10,10,10,10,10,10,10,10
go in spain,Country PLP,Spain,Places & destinations,50,0%,25%,Low,50,70,40,40,40,70,50,40,30,50,40,50
going to spain by car,Country PLP,Spain,Places & destinations,20,0%,0%,Low,10,10,10,10,10,10,210,10,10,10,10,10
good cities in spain,Country PLP,Spain,Urban destinations,30,0%,-25%,Low,40,30,40,30,20,30,20,30,20,30,30,30
good cities to visit in spain,Country PLP,Spain,Urban destinations,20,50%,0%,Low,40,40,30,30,20,20,20,10,10,20,10,30
good place to visit in spain,Country PLP,Spain,Places & destinations,10,100%,0%,Medium,10,10,20,10,10,10,10,10,10,10,20,20
good places in spain to go on holiday,Country PLP,Spain,Trip types & holidays,210,0%,-33%,Medium,320,320,260,260,170,140,90,90,90,260,210,260
good places in spain to visit,Country PLP,Spain,Places & destinations,18100,0%,-33%,Medium,27100,27100,22200,22200,18100,14800,14800,12100,12100,18100,18100,18100
great cities in spain,Country PLP,Spain,Urban destinations,1600,0%,-16%,Low,1900,1900,1600,1600,1300,1300,1300,1000,1000,1600,1300,1600
great places in spain,Country PLP,Spain,Places & destinations,1000,0%,-23%,Low,1600,1600,1000,720,880,1000,1000,880,720,1000,880,1000
great places to go in spain,Country PLP,Spain,Places & destinations,18100,0%,-33%,Medium,27100,27100,22200,22200,18100,14800,14800,12100,12100,18100,18100,18100
guide to northern spain,Country PLP,Spain,Regional exploration,20,50%,0%,High,30,20,30,30,20,20,10,10,10,20,20,30
hidden gems in spain to visit,Country PLP,Spain,Places & destinations,20,67%,400%,Low,10,10,10,20,20,10,20,20,20,30,50,50
historical place in spain,Country PLP,Spain,Places & destinations,1600,0%,0%,Low,1900,2900,1600,880,1000,1900,1600,1300,1300,1600,1300,1600
historical places to visit in spain,Country PLP,Spain,Places & destinations,70,0%,-22%,Low,90,170,70,40,70,50,50,40,70,70,70,70
holiday destinations in mainland spain,Country PLP,Spain,Regional exploration,110,0%,-19%,Medium,170,140,140,110,140,70,70,70,50,170,140,170
hot places in spain april,Country PLP,Spain,Seasonality & weather,10,50%,0%,Medium,10,10,10,10,10,10,10,10,10,20,30,30
hot places in spain in june,Country PLP,Spain,Seasonality & weather,90,0%,-18%,Low,140,170,70,50,40,40,90,40,50,140,70,140
hot places in spain in may,Country PLP,Spain,Seasonality & weather,480,39%,0%,Low,1000,590,140,140,170,210,390,210,210,720,590,1000
hot places in spain november,Country PLP,Spain,Seasonality & weather,90,-50%,-67%,Low,40,50,70,90,140,210,320,110,20,20,10,10
hot places in spain october,Country PLP,Spain,Seasonality & weather,90,0%,-20%,Low,50,90,90,110,170,260,110,20,10,40,30,40
hot places spain october,Country PLP,Spain,Seasonality & weather,10,0%,0%,Medium,10,10,10,10,20,20,10,10,0,10,10,10
hot spots in spain,Country PLP,Spain,Places & destinations,70,0%,-44%,Low,70,90,70,90,50,70,50,40,50,50,50,50
hotspots in spain,Country PLP,Spain,Places & destinations,70,0%,-44%,Low,70,90,70,90,50,70,50,40,50,50,50,50
hottest destinations in spain in october,Country PLP,Spain,Seasonality & weather,10,-100%,-100%,Unknown,0,10,10,10,10,10,10,10,0,10,0,0
hottest place in spain january,Country PLP,Spain,Seasonality & weather,320,-85%,-36%,Low,110,140,170,170,320,390,480,720,880,590,110,90
hottest place in spain today,Country PLP,Spain,Seasonality & weather,390,0%,50%,Low,260,170,1000,480,390,110,210,260,320,390,260,390
i want to visit spain,Country PLP,Spain,Places & destinations,20,-50%,0%,Medium,20,20,20,10,20,10,30,30,10,20,10,10
iconic places in spain,Country PLP,Spain,Sightseeing & landmarks,50,0%,-44%,Low,50,70,70,40,50,90,50,40,40,50,50,50
important cities of spain,Country PLP,Spain,Urban destinations,1900,0%,0%,Low,1900,2900,1600,1300,1600,2400,1900,1600,1600,1600,1600,1600
important places in spain,Country PLP,Spain,Places & destinations,6600,0%,0%,Low,8100,9900,6600,5400,5400,9900,8100,6600,5400,6600,5400,6600
important places to visit in spain,Country PLP,Spain,Places & destinations,320,23%,52%,Low,390,390,260,210,210,390,320,320,170,260,320,320
interesting cities in spain,Country PLP,Spain,Urban destinations,30,-33%,-33%,Low,50,50,40,30,20,50,20,20,20,30,20,20
interesting places in spain to visit,Country PLP,Spain,Places & destinations,170,24%,86%,Low,170,210,110,140,140,260,260,210,170,210,170,260
interesting things to do in spain,Country PLP,Spain,Activities & experiences,40,100%,0%,Medium,50,70,20,20,30,50,40,40,20,20,30,40
islamic history in spain to visit,Country PLP,Spain,Places & destinations,30,0%,0%,Low,40,40,40,30,20,20,20,20,30,30,10,30
island in spain to visit,Country PLP,Spain,Places & destinations,10,0%,-75%,Low,10,10,10,10,10,10,10,10,10,10,10,10
islands in spain to visit,Country PLP,Spain,Places & destinations,320,23%,-18%,Low,390,480,390,390,260,260,210,170,170,260,260,320
lads holiday destinations spain,Country PLP,Spain,Trip types & holidays,20,0%,50%,Medium,20,20,10,20,10,10,10,10,10,30,30,30
lonely planet best of spain,Country PLP,Spain,Places & destinations,10,0%,-50%,High,20,10,10,10,10,10,20,10,10,10,10,10
lonely planet north spain,Country PLP,Spain,Regional exploration,110,0%,-21%,High,140,140,140,170,110,70,50,50,70,110,90,110
lonely planet south spain,Country PLP,Spain,Regional exploration,30,50%,-25%,High,30,40,30,30,30,40,30,20,20,20,30,30
lonely planet spain 2021,Country PLP,Spain,Places & destinations,10,0%,0%,High,10,10,0,10,10,10,0,10,10,10,10,10
lonely planet spain and portugal's best trips,Country PLP,Spain,Places & destinations,10,0%,0%,High,10,10,10,10,10,10,10,10,10,10,10,10
main cities in spain to visit,Country PLP,Spain,Urban destinations,40,-60%,-33%,Low,30,50,40,40,40,30,30,30,20,50,30,20
main cities to visit in spain,Country PLP,Spain,Urban destinations,30,-60%,-50%,Low,40,30,20,30,30,30,20,30,30,50,30,20
main places to visit in spain,Country PLP,Spain,Places & destinations,20,-50%,-33%,Medium,30,30,20,30,20,30,20,20,20,40,20,20
main tourist attractions in spain,Country PLP,Spain,Sightseeing & landmarks,140,27%,0%,Low,170,170,140,110,140,210,210,140,110,110,90,140
main tourist cities in spain,Country PLP,Spain,Urban destinations,10,0%,0%,Low,20,20,20,10,10,10,10,10,10,10,10,10
mainland spain destinations,Country PLP,Spain,Regional exploration,20,100%,-33%,Medium,30,50,40,30,20,30,20,10,10,10,20,20
major attractions in spain,Country PLP,Spain,Sightseeing & landmarks,480,23%,23%,Low,480,720,320,210,320,590,720,390,480,390,480,480
major cities in spain to visit,Country PLP,Spain,Urban destinations,40,0%,-40%,Medium,40,70,50,40,70,50,50,40,20,30,30,30
major cities to visit in spain,Country PLP,Spain,Urban destinations,20,-67%,-50%,Medium,20,10,20,20,20,20,10,20,20,30,20,10
major tourist attractions in spain,Country PLP,Spain,Sightseeing & landmarks,880,0%,-18%,Low,880,1300,720,590,720,1300,880,720,720,720,720,720
major tourist cities in spain,Country PLP,Spain,Urban destinations,20,-50%,0%,Low,20,40,10,10,10,20,20,30,20,20,20,10
most amazing places in spain,Country PLP,Spain,Places & destinations,10,0%,0%,Medium,20,10,10,10,20,20,10,10,20,10,20,10
most beautiful areas in spain,Country PLP,Spain,Places & destinations,20,100%,-33%,Low,40,40,20,20,20,10,20,10,20,10,20,20
most beautiful areas of spain,Country PLP,Spain,Places & destinations,40,-25%,-57%,Low,40,30,70,40,50,20,30,30,40,40,40,30
most beautiful beach in spain,Country PLP,Spain,Beaches & coast,1300,0%,-19%,Low,1600,1900,1600,1600,1300,1000,880,880,720,1300,1000,1300
